date,country,rank,previousRank,totalPoints,previousPoints,flagUrl,countryUrl,conf
2023-12-21,Barbados,178,178,943.8,943.8,https://api.fifa.com/api/v3/picture/flags-sq-2/BRB,https://www.fifa.com/fifa-world-ranking/BRB,CONCACAF
2023-12-21,Cambodia,179,179,931.47,931.47,https://api.fifa.com/api/v3/picture/flags-sq-2/CAM,https://www.fifa.com/fifa-world-ranking/CAM,AFC
2023-12-21,Dominica,180,180,922.25,922.25,https://api.fifa.com/api/v3/picture/flags-sq-2/DMA,https://www.fifa.com/fifa-world-ranking/DMA,CONCACAF
2023-12-21,Chad,181,181,920.37,920.37,https://api.fifa.com/api/v3/picture/flags-sq-2/CHA,https://www.fifa.com/fifa-world-ranking/CHA,CAF
2023-12-21,Belize,182,182,918.68,918.68,https://api.fifa.com/api/v3/picture/flags-sq-2/BLZ,https://www.fifa.com/fifa-world-ranking/BLZ,CONCACAF
2023-12-21,Bangladesh,183,183,916.75,916.75,https://api.fifa.com/api/v3/picture/flags-sq-2/BAN,https://www.fifa.com/fifa-world-ranking/BAN,AFC
2023-12-21,Bhutan,184,184,913.02,913.02,https://api.fifa.com/api/v3/picture/flags-sq-2/BHU,https://www.fifa.com/fifa-world-ranking/BHU,AFC
2023-12-21,Cook Islands,185,185,897.3,901.9,https://api.fifa.com/api/v3/picture/flags-sq-2/COK,https://www.fifa.com/fifa-world-ranking/COK,OFC
2023-12-21,Samoa,186,187,896.78,896.28,https://api.fifa.com/api/v3/picture/flags-sq-2/SAM,https://www.fifa.com/fifa-world-ranking/SAM,OFC
2023-12-21,Macau,187,186,896.62,896.62,https://api.fifa.com/api/v3/picture/flags-sq-2/MAC,https://www.fifa.com/fifa-world-ranking/MAC,AFC
2023-12-21,American Samoa,188,188,890.97,893.67,https://api.fifa.com/api/v3/picture/flags-sq-2/ASA,https://www.fifa.com/fifa-world-ranking/ASA,OFC
2023-12-21,Laos,189,189,889.62,889.62,https://api.fifa.com/api/v3/picture/flags-sq-2/LAO,https://www.fifa.com/fifa-world-ranking/LAO,AFC
2023-12-21,Mongolia,190,190,889.16,889.16,https://api.fifa.com/api/v3/picture/flags-sq-2/MNG,https://www.fifa.com/fifa-world-ranking/MNG,AFC
2023-12-21,São Tomé and Príncipe,191,191,888.94,888.94,https://api.fifa.com/api/v3/picture/flags-sq-2/STP,https://www.fifa.com/fifa-world-ranking/STP,CAF
2023-12-21,Djibouti,192,192,881.18,881.18,https://api.fifa.com/api/v3/picture/flags-sq-2/DJI,https://www.fifa.com/fifa-world-ranking/DJI,CAF
2023-12-21,Aruba,193,193,879.32,879.32,https://api.fifa.com/api/v3/picture/flags-sq-2/ARU,https://www.fifa.com/fifa-world-ranking/ARU,CONCACAF
